#SampleID	SPECIES	ISOLATION_SITE	PLANT_PHENOTYPE	ENVIRONMENT	HOST_TYPE	COUNTRY
Kosakonia_arachidis_strain=Ah-143_protein_result	Kosakonia_arachidis	SOIL	PGP	RHIZOSPHERE	PLANT	INDIA
Kosakonia_arachidis_strain=KACC_18508_protein_result	Kosakonia_arachidis	SOIL	PGP	RHIZOSPHERE	PLANT	SOUTH KOREA
Kosakonia_cowanii_JCM_10956_=_DSM_18146_strain=888-76_protein_result	Kosakonia_cowanii	HUMAN	PATHOGEN	BLOOD	HUMAN	JAPAN
Kosakonia_cowanii_isolate=Kosakonia_cowanii_DSM111930_protein_result	Kosakonia_cowanii	ANIMAL	NA	FECAL	MOUSE	GERMANY
Kosakonia_cowanii_strain=AM113-06_protein_result	Kosakonia_cowanii	HUMAN	PATHOGEN	FECAL	HUMAN	CHINA
Kosakonia_cowanii_strain=Esp_Z_protein_result	Kosakonia_cowanii	INSECT	PATHOGEN	INSECT	INSECT	ZAMBIA
Kosakonia_cowanii_strain=FBS_223_protein_result	Kosakonia_cowanii	NA	PATHOGEN	NA	NA	URUGUAY
Kosakonia_cowanii_strain=LT-1_protein_result	Kosakonia_cowanii	SOIL	NA	NA	NA	CHINA
Kosakonia_cowanii_strain=Pa82_protein_result	Kosakonia_cowanii	PLANT	PATHOGEN	PHYLLOSPHERE	PLANT	CHINA
Kosakonia_cowanii_strain=PF-104_protein_result	Kosakonia_cowanii	GOWER FEED	NA	NA	GOWER FEED	USA
Kosakonia_cowanii_strain=PF-6_protein_result	Kosakonia_cowanii	GOWER FEED	NA	NA	GOWER FEED	USA
Kosakonia_cowanii_strain=PF-9_protein_result	Kosakonia_cowanii	GOWER FEED	NA	NA	GOWER FEED	USA
Kosakonia_oryzae_strain=CGMCC_1_7012_protein_result	Kosakonia_oryzae	PLANT	PGP	NA	PLANT	NA
Kosakonia_oryzae_strain=IAC-BECa90_protein_result	Kosakonia_oryzae	PLANT	PGP	RHIZOSPHERE	PLANT	BRAZIL
Kosakonia_oryzae_strain=KO348_protein_result	Kosakonia_oryzae	PLANT	PGP	RHIZOSPHERE	PLANT	ITALY
Kosakonia_oryzae_strain=Ola_51_protein_result	Kosakonia_oryzae	PLANT	PGP	RHIZOSPHERE	PLANT	CHINA
Kosakonia_oryzendophytica_isolate=Kosakonia_oryzendophytica_LMG_26432T_protein_result	Kosakonia_oryzendophytica	PLANT	PGP	RHIZOSPHERE	PLANT	NA
Kosakonia_oryzendophytica_strain=FY-07_protein_result	Kosakonia_oryzendophytica	PLANT	PGP	RHIZOSPHERE	PLANT	CHINA
Kosakonia_oryzendophytica_strain=REICA_082_protein_result	Kosakonia_oryzendophytica	PLANT	PGP	RHIZOSPHERE	PLANT	NA
Kosakonia_oryziphila_strain=REICA_142_protein_result	Kosakonia_oryziphila	PLANT	PGP	RHIZOSPHERE	PLANT	NA
Kosakonia_pseudosacchari_strain=BDA62-3_protein_result	Kosakonia_pseudosacchari	PLANT	PGP	PHYLLOSPHERE	PLANT	NA
Kosakonia_pseudosacchari_strain=JM-387_protein_result	Kosakonia_pseudosacchari	PLANT	PGP	RHIZOSPHERE	PLANT	USA
Kosakonia_pseudosacchari_strain=NN143_protein_result	Kosakonia_pseudosacchari	PLANT	PGP	RHIZOSPHERE	PLANT	CHINA
Kosakonia_pseudosacchari_strain=RX_G5M8_protein_result	Kosakonia_pseudosacchari	SOIL	NA	NA	NA	HONG KONG
Kosakonia_quasisacchari_strain=WCHEs120001_protein_result	Kosakonia_quasisacchari	HUMAN	PATHOGEN	NA	HUMAN	CHINA
Kosakonia_radicincitans_isolate=UYSO10_reads_2_protein_result	Kosakonia_radicincitans	PLANT	PGP	PHYLLOSPHERE	PLANT	URUGUAY
Kosakonia_radicincitans_strain=D4_protein_result	Kosakonia_radicincitans	PLANT	PGP	PHYLLOSPHERE	PLANT	NA
Kosakonia_radicincitans_strain=DSM_107547_protein_result	Kosakonia_radicincitans	HUMAN	PATHOGEN	BLOOD	HUMAN	VIENNA
Kosakonia_radicincitans_strain=dy20221129_protein_result	Kosakonia_radicincitans	HUMAN	PATHOGEN	BLOOD	HUMAN	CHINA
Kosakonia_radicincitans_strain=GXGL-4A_protein_result	Kosakonia_radicincitans	PLANT	PGP	RHIZOSPHERE	PLANT	CHINA
Kosakonia_radicincitans_strain=IAC-BECa95_protein_result	Kosakonia_radicincitans	PLANT	PGP	RHIZOSPHERE	PLANT	BRAZIL
Kosakonia_radicincitans_strain=NFIX03_protein_result	Kosakonia_radicincitans	PLANT	PGP	RHIZOSPHERE	PLANT	NA
Kosakonia_radicincitans_strain=NFIX04_protein_result	Kosakonia_radicincitans	PLANT	PGP	RHIZOSPHERE	PLANT	NA
Kosakonia_radicincitans_strain=NFIX06_protein_result	Kosakonia_radicincitans	PLANT	PGP	RHIZOSPHERE	PLANT	NA
Kosakonia_radicincitans_strain=NFIX08_protein_result	Kosakonia_radicincitans	PLANT	PGP	RHIZOSPHERE	PLANT	NA
Kosakonia_radicincitans_strain=NFIX09_protein_result	Kosakonia_radicincitans	PLANT	PGP	RHIZOSPHERE	PLANT	NA
Kosakonia_radicincitans_strain=UTH00119_protein_result	Kosakonia_radicincitans	HUMAN	PATHOGEN	BLOOD	HUMAN	JAPAN
Kosakonia_radicincitans_UMEnt01_12_strain=UMEnt01_12_protein_result	Kosakonia_radicincitans	PLANT	PATHOGEN	ENDOSPHERE	PLANT	MALAYSIA
Kosakonia_radicincitans_YD4_strain=YD4_protein_result	Kosakonia_radicincitans	PLANT	PGP	RHIZOSPHERE	PLANT	ARGENTINA
Kosakonia_sacchari_SP1_strain=SP1_protein_result	Kosakonia_sacchari	PLANT	PGP	PHYLLOSPHERE	PLANT	CHINA
Kosakonia_sacchari_strain=BO-1_protein_result	Kosakonia_sacchari	PLANT	PGP	PHYLLOSPHERE	PLANT	JAPAN
Kosakonia_sacchari_strain=CGMCC_1_12102_protein_result	Kosakonia_sacchari	PLANT	PGP	NA	PLANT	NA
