#Datasets	 Kosakonia_arachidis_strain=Ah-143_protein_result	 Kosakonia_arachidis_strain=KACC_18508_protein_result	 Kosakonia_cowanii_JCM_10956_=_DSM_18146_strain=888-76_protein_result	 Kosakonia_cowanii_isolate=Kosakonia_cowanii_DSM111930_protein_result	 Kosakonia_cowanii_strain=AM113-06_protein_result	 Kosakonia_cowanii_strain=Esp_Z_protein_result	 Kosakonia_cowanii_strain=FBS_223_protein_result	 Kosakonia_cowanii_strain=LT-1_protein_result	 Kosakonia_cowanii_strain=PF-104_protein_result	 Kosakonia_cowanii_strain=PF-6_protein_result	 Kosakonia_cowanii_strain=PF-9_protein_result	 Kosakonia_cowanii_strain=Pa82_protein_result	 Kosakonia_oryzae_strain=CGMCC_1_7012_protein_result	 Kosakonia_oryzae_strain=IAC-BECa90_protein_result	 Kosakonia_oryzae_strain=KO348_protein_result	 Kosakonia_oryzae_strain=Ola_51_protein_result	 Kosakonia_oryzendophytica_isolate=Kosakonia_oryzendophytica_LMG_26432T_protein_result	 Kosakonia_oryzendophytica_strain=FY-07_protein_result	 Kosakonia_oryzendophytica_strain=REICA_082_protein_result	 Kosakonia_oryziphila_strain=REICA_142_protein_result	 Kosakonia_pseudosacchari_strain=BDA62-3_protein_result	 Kosakonia_pseudosacchari_strain=JM-387_protein_result	 Kosakonia_pseudosacchari_strain=NN143_protein_result	 Kosakonia_pseudosacchari_strain=RX_G5M8_protein_result	 Kosakonia_quasisacchari_strain=WCHEs120001_protein_result	 Kosakonia_radicincitans_UMEnt01_12_strain=UMEnt01_12_protein_result	 Kosakonia_radicincitans_YD4_strain=YD4_protein_result	 Kosakonia_radicincitans_isolate=UYSO10_reads_2_protein_result	 Kosakonia_radicincitans_strain=D4_protein_result	 Kosakonia_radicincitans_strain=DSM_107547_protein_result	 Kosakonia_radicincitans_strain=GXGL-4A_protein_result	 Kosakonia_radicincitans_strain=IAC-BECa95_protein_result	 Kosakonia_radicincitans_strain=NFIX03_protein_result	 Kosakonia_radicincitans_strain=NFIX04_protein_result	 Kosakonia_radicincitans_strain=NFIX06_protein_result	 Kosakonia_radicincitans_strain=NFIX08_protein_result	 Kosakonia_radicincitans_strain=NFIX09_protein_result	 Kosakonia_radicincitans_strain=UTH00119_protein_result	 Kosakonia_radicincitans_strain=dy20221129_protein_result	 Kosakonia_sacchari_SP1_strain=SP1_protein_result	 Kosakonia_sacchari_strain=BO-1_protein_result	 Kosakonia_sacchari_strain=CGMCC_1_12102_protein_result	 Kosakonia_sacchari_strain=DSM_107661_protein_result	 Kosakonia_sacchari_strain=HX148_protein_result	 Kosakonia_sacchari_strain=Y3_protein_result	 Kosakonia_sp__AG348_strain=AG348_protein_result	 Kosakonia_sp__CCTCC_M2018092_strain=CCTCC_M2018092_protein_result	 Kosakonia_sp__H7A_strain=H7A_protein_result	 Kosakonia_sp__LAM2021_strain=LAM2021_protein_result	 Kosakonia_sp__MH5_strain=MH5_protein_result	 Kosakonia_sp__ML_JS2a_strain=ML_JS2a_protein_result	 Kosakonia_sp__MUSA4_strain=MUSA4_protein_result	 Kosakonia_sp__R1_Fl_strain=R1_Fl_protein_result	 Kosakonia_sp__S42_strain=S42_protein_result	 Kosakonia_sp__S57_strain=S57_protein_result	 Kosakonia_sp__S58_strain=S58_protein_result	 Kosakonia_sp__SMBL-WEM22_strain=SMBL-WEM22_protein_result	 Kosakonia_sp__SOY2_strain=SOY2_protein_result
"K00001 alcohol dehydrogenase [EC:1.1.1.1]"	 4	 4	 2	 2	 2	 2	 2	 2	 2	 2	 2	 2	 2	 2	 2	 2	 2	 2	 2	 0	 1	 1	 1	 1	 1	 4	 3	 4	 4	 3	 4	 4	 4	 4	 4	 4	 4	 4	 4	 3	 3	 3	 2	 2	 3	 2	 2	 4	 3	 4	 3	 4	 4	 2	 2	 2	 2	 2
"K00002 alcohol dehydrogenase (NADP+) [EC:1.1.1.2]"	 0	 0	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 0	 0	 0	 0	 0	 0	 1	 1	 1	 1	 0
"K00016 L-lactate dehydrogenase [EC:1.1.1.27]"	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1
"K00121 S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase [EC:1.1.1.284 1.1.1.1]"	 1	 1	 2	 2	 2	 2	 2	 2	 2	 2	 2	 2	 2	 2	 1	 2	 2	 2	 2	 2	 2	 2	 2	 2	 2	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 0	 1	 1	 2	 1	 1	 1	 2	 1	 1	 2	 2	 2	 2	 1
"K00128 aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]"	 1	 1	 0	 0	 0	 0	 0	 0	 0	 0	 0	 0	 1	 1	 1	 1	 1	 1	 1	 0	 1	 1	 1	 1	 1	 2	 1	 2	 2	 2	 2	 2	 2	 2	 2	 2	 1	 2	 1	 2	 2	 2	 1	 1	 1	 1	 0	 2	 1	 2	 1	 1	 1	 0	 0	 0	 0	 1
"K00134 glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) [EC:1.2.1.12]"	 3	 3	 2	 2	 2	 2	 2	 2	 2	 2	 2	 2	 3	 3	 3	 3	 3	 3	 3	 2	 3	 3	 3	 3	 3	 3	 2	 3	 3	 3	 3	 3	 3	 3	 3	 3	 3	 3	 3	 3	 3	 3	 3	 3	 3	 3	 2	 3	 3	 3	 3	 3	 3	 2	 2	 2	 2	 3
"K00138 aldehyde dehydrogenase [EC:1.2.1.-]"	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 2	 2	 2	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 0	 0	 0	 1	 1	 1	 1	 1	 1	 1	 1	 2	 1	 1	 1	 1	 1	 1	 1
"K00163 pyruvate dehydrogenase E1 component [EC:1.2.4.1]"	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 2	 1
"K00382 dihydrolipoamide dehydrogenase [EC:1.8.1.4]"	 1	 1	 2	 2	 2	 2	 2	 2	 2	 2	 2	 2	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 2	 2	 1	 1	 1	 1	 1	 2	 2	 2	 2	 1
"K00627 pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) [EC:2.3.1.12]"	 1	 1	 2	 2	 2	 2	 2	 2	 2	 2	 2	 2	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 1	 2	 1	 1	 1	 1	 1	 1	 2	 2	 2	 2	 1
